^:<name=1 footnote=bk>	note
11	佛陀 （佛·Buddha）為梵文 Buddha 的音譯，漢譯為「覺者」、「正覺者」，簡稱為佛，本來是指佛教的教祖、創始者「釋迦牟尼佛（喬答摩、悉達多）」。\n佛教的目的就是教人人成佛的。\n由於成佛的手段，有所差別。\n故有多種宗派。\n以大乘佛教來說，除了歷史上的釋迦牟尼佛以外，還有各種佛菩薩的存在。\n例如阿彌陀佛，大日如來，毘盧舍那佛，藥師如來佛等。
12	佛性 （Buddhatā·Buddhatva）「成佛的種子」，亦可說是「到達覺悟的潛在力、可能性」或「佛心」。\n如有一句「一切衆生悉有佛性」，無差別地承認一切存在，本身都有佛性。\n這是佛教的特徵，也是佛教的平等的立場。\n把這個內在的佛性表現於外的人，就叫做「佛」。
13	迴向 （Pariṇāma）將自己所做的善行為，轉向另一目標之謂，這有轉向自己本身未來的悟道，與轉向給別人的二種情形。\n現在一般社會上所使用的迴向就是轉向給死者，由「消除死者於生前在世間所做的惡行，希望其來世可以得到好結果」這種願望。\n在舉行葬禮或做佛事時，以誦經的功德，祈求死者的冥福。\n這種方法稱為迴向。^pb284^pb285
14	湼槃 （Nirvāṇa）為梵文 nirvā a 的音譯，是「吹滅」之意。\n漢譯有「滅」、「滅度」、「寂滅」等意譯。\n這是如同吹滅蠟燭的火一般，把煩惱的火吹滅的人所到達的境地。\n到達此境地謂之「入湼槃」，到達者稱為「佛陀」。\n有時把釋迦牟尼佛死亡的瞬間稱「入湼槃」，這是由肉體滅亡時，完全消除煩惱之火的想法而來。\n不過，通常認為佛三五歲成佛時，已經達到「湼槃」的境界。
15	唯識 （Vijñaptimātratā）此世間的一切存在與現象，皆由人「心」所產生，實際存在的唯有心而已。\n即：眼、耳、鼻、舌、身、意的六種感覺器官，各有對象可以認識。\n此外，另立第七（末那識）、第八（阿賴耶識）二識，以此八識的作用，作為此人世間之一切存在與現象生成的原因。
16	教團 （Saṃgha）指信奉同一教法而聚集的人的集團。\n由說教者階層及受教而入信的信徒所構成。\n這佛教自古以來稱之為僧伽。\n但嚴密地說，在佛教初期是專指出家者教團而說的。\n後來大乘佛教興起，以菩薩為理想而實踐的人們的集合。\n乃超越在家、出家之區別，而成為連帶的教團。
17	梵文 （Sanskrit Language）古代印度的古典語文，是屬於印歐語系的一種。\n梵文分成二種，一種是吠陀文（Vedic Sanskrit），另一種是古典梵文（Classical Sanskrit）。\n大乘經典都用梵文書寫，採用佛教混合梵文（Buddhist Hybrid Sanskrit）。
18	智慧 （般若 Prajñā）這與普通所使用的智慧不同，通常使用音譯的「般若」二字，是指區別正邪的正確判斷力。\n完全具備此般若者，稱為「佛陀」。\n這不是普通的知識，是能洞察所有現象背後存在的實相的智力。\n為得此智慧，以達湼槃境地的實踐，稱為「般若波羅蜜」。
19	無我 （Anātman）佛教最基本的教義之一，是「此世界的一切存在與現象中，沒有一種可以捕捉的實體」之意。\n過去印度的宗教主張個體存在的實體，即說有「我」的存在。\n對此佛教主張諸行無常。\n故，說「不能永遠存在的世間上的存在與現象不可能有實體」是當然的。\n所謂「我」相當於其他宗教所說的「靈魂」。
20	無明 （Avidyā）沒有正確智慧的狀態。\n指迷惑的根本無知。\n其心理作用謂之愚癡。\n由於各種學派的分析、解釋，而有許多意義。\n但都認為根源的，使煩惱之所以成為煩惱的原動力就是無明。\n所以，把所有存在的因果關係，分為十二階段加以說明的十二因緣說。\n最初就設定無明，這也可以指生存欲望的盲目的意志。
21	無常 （Anitya）所有的存在都時時刻刻在生滅變化轉移變遷，絕不會停止在同一個狀態。\n這是佛教與其他宗教所不同的思想立場。\n一切萬物都表示誕生、持續、變化、滅亡四個階段。\n所以，把它仔細觀察，而有「苦」的看法，以做為宗教上反省的契機是很重要的。\n這無常亦由各種學說學派之立場，加以形而上學的分析。\n不過，不能只強調悲觀的厭世思想（Pessimism）或虛無主義（Nihilism）的黑暗面。\n因為，生成發展也是無常的一面之故。^pb286
22	菩薩 （Bodhisattva）本指世尊成道以前的修行時代。\n是求悟道的人之意。\n大乘佛教興起以後，其解釋擴大為大乘佛教徒之意。\n凡是努力於向上，以求佛道為目標，向下救度衆生的人，稱為菩薩。\n又擔負佛的慈悲、智慧的作用之一部分，輔佐佛而順應人們的煩惱而出現。\n如觀音（菩薩）、地藏（菩薩）等有威神力的拯救苦難者，也被稱為菩薩。
23	解脫 （Vimukti·Vimokṣa）依字面的意義，則從輪迴轉生的迷惑世界的束縛中解放開脫出，而進入開悟的湼槃境界，謂之解脫。\n從迷惑世界開脫出來，而永遠停止在正覺的狀態者，就是「佛陀」。\n在這裏因遠離一切束縛──煩惱，所以是自由自在的。
24	慈悲 （Maitrī-Karuṇā）這是佛教中最基本的倫理項目。\n「慈」就是給對方快樂，「悲」就是拔去對方的苦惱。\n把這個慈悲體驗而無條件地給予一切人者，就是「覺者」，也就是佛。\n把它象徵性的表現出來的就是觀音及地藏菩薩。\n簡單地說，慈悲就是「和對方一起欣喜快樂，一起悲哀或悲傷」。
25	業 （Karman）本來的意思是行為，與因果關係結合，由行為帶來結果的潛在力量。\n行為必有善惡，苦樂的果報，其影響力被認為是業。\n例如前世的行為的果報被說為宿業。\n重複善行，累積下來，其影響力到未來也有作用。\n業有身、口、意三種行為。^pb287^pb288
26	煩惱 （Kleśa）指障礙（障礙）開悟的一切精神作用，與人類的生存直接結合的許多慾望使身體及心苦惱、攪亂、煩心。\n其根源是我欲、我執，生根於生命力。\n貪、瞋、癡為其根本，而滋生許多的煩惱。\n這些對於實現開悟成為障害。\n故，認為必須於修道的過程中予以消滅。\n但是，也有認為不能否定直接結合於生命力的東兩──煩惱，而作為走向悟道之跳板，予以肯定的思想。
27	緣起 （Pratītyasamutpāda）是因緣生起之略。\n則所有的存在都相互有關係而生起之意。\n這是佛教教義的基本思想。\n因承認所有存在互相依靠的關係。\n所以，有「托您的福」的感謝，也產生報恩的服務。\n此緣起思想，更展開為哲學思想，成為煩瑣的組織。\n雖然被轉用為指寺院、佛像的由來及傳說。\n但是不可忘記其本來的意義。
28	經 （Sūtra）記載佛陀的教法。\n經原來的意義是指紡織物的直線，以此喩貫通教義的謂之經。\n為三藏之一。
29	輪迴 （Saṃsāra）從過去世到現在世，更至未來世，生生死死譬如輪子在轉動。\n所以有輪廻轉生之語。\n人類除非從迷惑的世界解脫出來而到湼槃的世界，否則永遠在地獄、餓鬼、畜生之三惡道。\n加上阿修羅、人、天三善道的六道世界，重複轉生。\n脫離這個輪廻的輪子之人，被稱為「佛陀」。\n
